epoch,train_loss,eval_loss,eval_top1,eval_top5
0,5.149763023152071,3.2607525,31.098,57.058
1,3.8920829553230134,2.57445,43.954,69.838
2,3.5086670178993073,2.303546875,48.634,74.36
3,3.3308185596092073,2.108605,52.65,77.336
4,3.188113392568102,2.049125,54.066,78.316
5,3.1085164687212776,1.972898125,55.728,79.622
6,3.0631528040942024,1.8776625,57.568,80.892
7,3.0017031033833823,1.85301125,58.048,81.778
8,2.957174777984619,1.795836875,59.25,82.394
9,2.8962911180421416,1.7975875,59.106,82.158
10,2.901336583436704,1.759740625,59.904,82.934
11,2.8642357400819365,1.69363375,61.062,83.53
12,2.8415732220107435,1.70761625,61.222,83.76
13,2.8139339264701393,1.67576875,62.026,84.188
14,2.8114833434422812,1.667008125,62.128,84.266
15,2.7978828561072255,1.66454625,62.338,84.336
16,2.7735773488587023,1.65625375,62.29,84.428
17,2.7818950952268113,1.63326375,62.876,84.832
18,2.775998031391817,1.640260625,62.772,84.856
19,2.7264091103684667,1.609506875,63.338,85.204
20,2.7177553340500475,1.5972675,63.394,85.11
21,2.730378742311515,1.611793125,63.342,85.148
22,2.7218721193425797,1.60596125,63.594,85.202
23,2.7129778067270913,1.5809825,64.002,85.308
24,2.694550867174186,1.595816875,63.39,85.366
25,2.6847346202999938,1.603820625,63.686,85.254
26,2.6986303306093404,1.557223125,64.188,85.748
27,2.6848200769985424,1.56912625,64.148,85.542
28,2.675815862767837,1.560199375,64.304,85.946
29,2.663128095514634,1.557250625,64.266,85.844
30,2.672753053552964,1.5504625,64.692,86.096
31,2.6628677634631885,1.53782375,64.898,86.352
32,2.6505803500904754,1.554453125,64.414,86.02
33,2.654622197151184,1.56280125,64.486,85.998
34,2.63903093104269,1.541503125,64.81,86.204
35,2.6289732549704756,1.5371725,64.994,86.272
36,2.6337872065749823,1.515484375,65.208,86.352
37,2.622994161119648,1.528155,64.862,86.468
38,2.6405542785046148,1.5033125,65.244,86.66
39,2.623026817452674,1.523541875,65.044,86.392
40,2.4778862677368463,1.359689375,68.72,88.554
41,2.43341924162472,1.361154375,68.91,88.662
42,2.4225698218626133,1.349023125,69.05,88.858
43,2.403369097148671,1.3434225,69.16,88.93
44,2.4062416717117907,1.33726,69.37,88.952
45,2.387400879579432,1.33881,69.54,88.996
46,2.3871034547394396,1.33340125,69.538,89.012
47,2.3899198373158774,1.33358875,69.548,88.884
48,2.3661973149168727,1.335175,69.584,89.028
49,2.3726668988957123,1.327589375,69.688,89.082
50,2.3686738505082974,1.32288875,69.614,89.126
51,2.3505353647119858,1.32789875,69.798,89.2
52,2.368586449062123,1.3207725,69.77,89.134
53,2.3499762263952517,1.3174225,69.71,89.25
54,2.3590503650553085,1.319756875,69.638,89.128
55,2.3487608713262222,1.326620625,69.706,89.12
56,2.3658192414863435,1.322865625,69.83,89.24
57,2.343004205647637,1.3200375,69.99,89.1
58,2.3289843306821933,1.3181175,69.718,89.176
59,2.3396043637219597,1.316476875,69.694,89.296
60,2.3508847718145334,1.321123125,69.94,89.2
61,2.331393730406668,1.313181875,69.862,89.102
62,2.3415073647218594,1.322495625,69.996,89.286
63,2.3516487935010124,1.32412875,69.852,89.188
64,2.320357280619004,1.301674375,69.938,89.22
65,2.3210246703203987,1.311029375,69.894,89.304
66,2.3170254884981643,1.3121825,69.962,89.268
67,2.3159918411105287,1.31645625,69.798,89.158
68,2.308997224358951,1.30390125,69.978,89.242
69,2.3166369129629696,1.31065,69.866,89.25
70,2.3217876308104572,1.30893,70.024,89.25
71,2.3282791002123964,1.305765,70.002,89.218
72,2.3280995920592664,1.31736125,69.918,89.25
73,2.3122893758848604,1.306855625,69.984,89.138
74,2.3093014137417662,1.316978125,70.046,89.32
75,2.2916777145628835,1.32284125,69.986,89.208
76,2.3043935252170935,1.306385625,69.96,89.336
77,2.3108226317985383,1.316624375,69.794,89.038
78,2.3133743744270476,1.305866875,69.924,89.334
79,2.3021074533462524,1.310515625,70.014,89.176
80,2.2620099934877134,1.282316875,70.758,89.716
81,2.242288036673677,1.2764825,70.85,89.726
82,2.238208469222574,1.26725125,70.884,89.728
83,2.258627169272479,1.27308375,70.844,89.748
84,2.224050327843311,1.264535,70.948,89.816
85,2.2488063410216688,1.273646875,70.874,89.744
86,2.225067419164321,1.275531875,70.88,89.816
87,2.2215885169365825,1.268061875,70.93,89.802
88,2.2227293182821835,1.263541875,71.022,89.886
89,2.244998300776762,1.2728625,70.902,89.796
90,2.226128117710936,1.26996125,70.884,89.854
91,2.2309160185795203,1.272623125,70.994,89.86
92,2.2245183575387095,1.271630625,70.89,89.84
93,2.2226591671214386,1.2736475,70.854,89.838
94,2.2216729101012733,1.26553875,71.142,89.804
95,2.2155310967389275,1.27144,70.938,89.762
