epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.818282440596936,6.5937475,1.574,5.326
1,5.7876646097968605,3.8862125,23.284,47.49
2,4.838573151943731,2.86634375,38.534,65.298
3,4.3928940529916805,2.365831875,47.648,73.922
4,4.089873398051543,2.13036125,52.974,77.836
5,3.92520766398486,2.02321625,55.638,80.032
6,3.810935457547506,2.058265,58.06,81.608
7,3.6880394828085805,1.75192375,60.676,83.888
8,3.6152073308533312,1.675665,62.1,84.74
9,3.5974823937696567,1.6283275,63.124,85.19
10,3.523984254575243,1.77166125,63.938,85.968
11,3.4383657726587034,1.7063325,64.71,86.456
12,3.466321494065079,1.602111875,65.172,86.782
13,3.4158843732347677,1.48713125,66.604,87.686
14,3.3447405567356183,1.446310625,66.708,87.722
15,3.3316226239297904,1.5583875,67.14,88.046
16,3.3194927912132415,1.43099875,67.924,88.286
17,3.42134082551096,1.567425625,67.704,88.416
18,3.25012469291687,1.53978,67.538,88.144
19,3.2970744815527224,1.692476875,67.672,88.188
20,3.2541498623642267,1.39116625,68.822,89.018
21,3.3038503749697816,1.3568875,69.074,89.132
22,3.233459811584622,1.455674375,69.174,89.086
23,3.266685312869502,1.459109375,69.076,89.344
24,3.2234095335006714,1.35895625,69.536,89.52
25,3.2445783241122377,1.453724375,69.232,89.39
26,3.223809377819884,1.362000625,69.758,89.526
27,3.224828367139779,1.3399128125,69.682,89.342
28,3.259183928078296,1.3184725,70.444,89.92
29,3.243436663758521,1.430024375,69.978,89.648
30,3.218767713097965,1.75956875,69.666,89.464
31,3.2640207702038335,1.48351375,69.932,89.666
32,3.1571203610476326,1.28878125,70.66,90.144
33,3.1560613851921233,1.40900375,70.228,89.708
34,3.182544086493698,1.3223,70.864,90.25
35,3.1365514806672636,1.3603575,70.756,90.312
36,3.1819377576603607,1.406478125,70.898,90.19
37,3.140062264367646,1.40274,70.978,90.376
38,3.173897334173614,1.27973875,71.472,90.334
39,3.1761108426486744,1.4207775,70.774,90.102
40,3.0172058484133553,1.1379884375,74.63,92.134
41,2.9129857105367325,1.1775640625,74.75,92.272
42,2.9384129725250543,1.1482528125,75.068,92.388
43,2.864006245837492,1.0985134375,75.286,92.532
44,2.9038117937013213,1.180638125,75.262,92.548
45,2.833747487442166,1.1788,75.532,92.63
46,2.8860840236439422,1.1055075,75.554,92.67
47,2.8529117130765727,1.1695325,75.726,92.72
48,2.8536396821339927,1.06576375,75.808,92.834
49,2.880258929495718,1.243085,75.608,92.726
50,2.860303666077408,1.1641375,75.778,92.79
51,2.848392500596888,1.061910625,75.87,92.896
52,2.9222781845167574,1.217245,75.752,92.892
53,2.8343485336677703,1.1035775,75.924,93.042
54,2.770751074248669,1.04725625,76.072,93.078
55,2.7784680642333686,1.1881109375,75.758,92.992
56,2.8022674345502665,1.18529625,75.91,92.836
57,2.846155416731741,1.0617175,76.274,93.086
58,2.800630069246479,1.22349875,75.88,92.876
59,2.816786663205016,1.143679375,76.152,93.004
60,2.7907322551689897,1.102075625,76.274,93.024
61,2.651802245308371,1.1580159375,76.242,93.014
62,2.8000779572655174,1.0535625,76.386,93.1
63,2.8136347672518562,1.1415265625,76.234,93.062
64,2.70609989119511,1.110568125,76.346,93.004
65,2.822808042460797,1.2713475,76.048,92.886
66,2.7330529035306443,1.187170625,76.206,93.012
67,2.737389272334529,1.228360625,75.816,92.928
68,2.7068030132966885,1.125243125,76.276,93.016
