epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.820134667789235,6.602495,1.488,5.084
1,5.779130631802129,3.886335,22.992,46.998
2,4.827209879370296,2.854525,38.56,65.366
3,4.416304452746522,2.346134375,48.142,74.296
4,4.033996247777752,2.10693,52.934,78.086
5,3.9296740293502808,1.99853875,56.024,80.294
6,3.778378961133022,1.8770375,58.97,82.474
7,3.806670018270904,1.74118875,60.568,83.93
8,3.5538742495518103,1.701511875,62.098,84.87
9,3.604625888899261,1.67974,63.036,85.222
10,3.493768619556053,1.59028125,64.724,86.448
11,3.4606204219892915,1.617644375,65.394,86.954
12,3.466355520136216,1.644499375,65.174,86.744
13,3.3829896940904507,1.507144375,66.708,87.784
14,3.3936097154430316,1.52344125,66.96,87.758
15,3.3993350992015765,1.4458678125,67.658,88.206
16,3.3315085476520014,1.6305725,66.9,88.074
17,3.2865652383542527,1.39823375,68.438,88.674
18,3.362514951649834,1.471259375,68.218,88.736
19,3.2811474402745566,1.532473125,68.614,88.71
20,3.319009860356649,1.41917,68.966,88.966
21,3.379831830660502,1.40545,69.234,89.216
22,3.1934028653537525,1.342580625,69.358,89.324
23,3.2943168013703588,1.340335625,69.874,89.474
24,3.173336704572042,1.347938125,69.786,89.446
25,3.2044676004671584,1.34614625,69.438,89.26
26,3.2763107991686056,1.400771875,69.95,89.694
27,3.234249610526889,1.3270925,70.306,89.744
28,3.228942693448534,1.4032825,70.294,89.82
29,3.2068373292100194,1.2786475,70.378,89.986
30,3.19927866786134,1.27539,70.778,90.024
31,3.2092183711482027,1.4016725,70.92,89.938
32,3.18578760062947,1.504825625,70.422,89.878
33,3.194681550942215,1.316063125,70.466,89.992
34,3.0559348428950592,1.43909375,70.41,89.978
35,3.16261229094337,1.363101875,70.984,90.308
36,3.112960598048042,1.404918125,70.816,90.106
37,3.222393924114751,1.26441,71.318,90.548
38,3.183844575694963,1.39779375,71.194,90.176
39,3.1134307735106526,1.28603125,71.35,90.43
40,2.9376542591581156,1.22383,74.348,91.988
41,2.850911755187839,1.1749590625,74.828,92.342
42,2.9562063661276126,1.2635375,74.786,92.244
43,2.865171558716718,1.1432975,75.214,92.546
44,2.8490558301701263,1.13235125,75.456,92.6
45,2.893193581525017,1.10555625,75.528,92.75
46,2.8528173881418564,1.302194375,75.282,92.664
47,2.9123011453478944,1.26090875,75.406,92.656
48,2.7860394155277923,1.0666046875,75.798,92.932
49,2.8093484850490795,1.139414375,75.784,92.826
50,2.740857767123802,1.06468125,75.948,92.814
51,2.835908055305481,1.2232,75.856,92.722
52,2.846714814503988,1.109220625,76.01,92.908
53,2.8361610127430334,1.0999103125,76.04,92.814
54,2.9156354946248673,1.12552375,76.118,92.956
55,2.884621592128978,1.29877625,75.718,92.714
56,2.8066814904119455,1.076555,76.202,93.074
57,2.8533553936902214,1.158844375,76.02,92.81
58,2.838539682182611,1.10961375,76.214,93.024
59,2.851065941885406,1.12656875,76.282,92.992
60,2.8507152386740144,1.317775,75.908,92.788
61,2.7900138953152824,1.1669859375,75.942,92.872
62,2.818611229167265,1.060711875,76.31,93.004
63,2.7623063606374405,1.082393125,76.224,92.892
64,2.820404458279703,1.08306625,76.372,93.002
65,2.778907092178569,1.0878840625,76.404,93.034
66,2.777161774682064,1.17028375,76.124,93.048
67,2.7979853901208616,1.184366875,76.01,93.028
68,2.759499664400138,1.122595,76.252,93.138
69,2.747751565540538,1.072583125,76.35,93.08
70,2.8239048906401094,1.065405,76.522,93.17
71,2.758767865452112,1.14175125,76.2,93.018
72,2.8606920966915057,1.272568125,75.878,92.832
73,2.7633446945863613,1.17881375,76.27,92.95
74,2.813515726257773,1.21838375,76.392,93.028
75,2.75262716587852,1.1246571875,76.218,92.978
76,2.7243017869837143,1.09431625,76.6,93.208
77,2.7759683623033413,1.119353125,76.412,93.138
78,2.8147600024354222,1.30505125,75.828,92.932
79,2.731077784416722,1.071289375,76.52,93.09
80,2.760585214577469,1.1005903125,77.028,93.376
81,2.7372932539266697,1.13171125,77.108,93.432
82,2.6726558301963057,1.0971971875,77.194,93.47
83,2.6388684406000027,1.0541,77.266,93.508
84,2.6563406282780218,1.082561875,77.38,93.518
85,2.7125561658073876,1.18902625,77.208,93.438
86,2.6165788278860203,1.0356975,77.442,93.582
87,2.689235363520828,1.1309896875,77.21,93.502
88,2.6272300996032416,1.1050859375,77.392,93.504
89,2.663649202561846,1.0258525,77.568,93.59
90,2.6682055779531892,1.0399634375,77.49,93.588
91,2.7201605497622023,1.040903125,77.436,93.56
92,2.66885687790665,1.069461875,77.502,93.586
93,2.660014837395911,1.1461009375,77.406,93.532
94,2.758142797385945,1.0418271875,77.604,93.562
95,2.721658029977013,1.0305,77.506,93.638
96,2.599878167404848,1.031791875,77.572,93.584
97,2.6492426652534333,1.0419840625,77.584,93.604
98,2.674384255035251,1.1015921875,77.454,93.59
99,2.6139327790222917,1.0282925,77.608,93.648
100,2.726672287080802,1.1105225,77.346,93.556
101,2.6618512074152627,1.37072,76.762,93.252
102,2.5945452007592893,1.003699375,77.722,93.668
103,2.63666879195793,1.02146875,77.642,93.636
104,2.6280471437117634,1.107875,77.514,93.584
105,2.6788284895466825,1.040415,77.624,93.686
106,2.6583926853011635,1.05428625,77.668,93.614
107,2.634092682716893,1.27451625,77.182,93.344
108,2.6445165884261037,1.1780825,77.394,93.504
109,2.5815776235917034,1.174011875,77.402,93.572
110,2.6618437287854215,1.182093125,77.398,93.512
111,2.6472240651355072,1.085520625,77.516,93.6
112,2.6068704467193755,1.071815,77.576,93.606
113,2.6770128490878085,1.0372396875,77.716,93.624
114,2.6355387626909743,1.097208125,77.592,93.546
115,2.6091818867945205,1.1122978125,77.618,93.582
116,2.6260288533042457,1.087214375,77.652,93.68
117,2.6099899317703996,1.0084221875,77.79,93.728
118,2.582624229730344,1.019581875,77.638,93.694
119,2.5887619502404156,1.031135,77.726,93.702
