epoch,train_loss,eval_loss,eval_top1,eval_top5
0,5.146082242329915,3.40639625,29.086,54.286
1,3.892077754525577,2.58372,43.472,69.912
2,3.537024911712198,2.29485375,49.17,74.426
3,3.333957552909851,2.09614125,52.63,77.628
4,3.2009313901265464,2.017985625,54.718,78.944
5,3.124997209100162,1.9816475,55.506,79.59
6,3.063442445268818,1.896803125,57.046,80.798
7,3.0193305085687077,1.86749125,57.93,81.434
8,2.9542278168248197,1.79127,59.742,82.684
9,2.919657933945749,1.7797425,59.786,82.622
10,2.9026256004969277,1.75344,60.28,83.088
11,2.8736105596317962,1.72569125,60.508,83.454
12,2.833009264048408,1.67581,61.902,84.09
13,2.819227978294971,1.687495,61.658,83.902
14,2.8237947015201343,1.674701875,62.024,84.278
15,2.789653051133249,1.64477625,62.574,84.678
16,2.7684875095591828,1.62458625,62.764,84.944
17,2.7815146750094843,1.659079375,62.522,84.554
18,2.7637574602575863,1.63344375,62.918,84.922
19,2.735124386993109,1.588623125,63.434,85.424
20,2.7305178502026726,1.5922325,63.452,85.376
21,2.7323942792181874,1.61862375,62.928,85.014
22,2.7127070006202247,1.631601875,63.34,85.168
23,2.711818713767856,1.571486875,64.038,85.63
24,2.68454305564656,1.59205625,63.57,85.612
25,2.6948310160169413,1.562996875,63.988,85.804
26,2.70678192727706,1.56241875,64.136,85.702
27,2.696162649229461,1.569839375,64.646,85.848
28,2.6782569300894643,1.584561875,64.358,85.704
29,2.6695279420590867,1.57535875,64.28,85.8
30,2.6640189325108246,1.57084,64.408,85.82
31,2.661761952381508,1.56689375,64.496,86.074
32,2.6499543400371777,1.55393,64.672,86.254
33,2.665499444101371,1.56243,64.83,85.92
34,2.63846190069236,1.520889375,64.806,86.23
35,2.6287523227579452,1.52801875,65.252,86.288
36,2.619275742886113,1.52729875,64.826,86.418
37,2.622739067264632,1.516170625,65.464,86.586
38,2.6212094881955315,1.53659125,64.896,86.264
39,2.638502357052822,1.53390375,64.912,86.106
40,2.469270960957396,1.3548,68.8,88.692
41,2.4343403063568414,1.348783125,69.056,88.768
42,2.411378734252032,1.344150625,69.096,88.898
43,2.4089780999164954,1.338568125,69.27,88.838
44,2.397791483822991,1.338484375,69.354,88.974
45,2.389056680249233,1.345771875,69.566,89.08
46,2.3874606314827416,1.33838875,69.642,88.976
47,2.3839465660207413,1.33184875,69.72,89.108
48,2.375299156880846,1.32945875,69.74,89.188
49,2.3706732263752057,1.3349125,69.718,89.182
50,2.372647862808377,1.324646875,69.664,89.132
51,2.3661442644455852,1.32642625,69.626,89.174
52,2.3508359404171215,1.321316875,69.934,89.122
53,2.337396822723688,1.317444375,69.802,89.134
54,2.350479572427039,1.31696125,69.796,89.106
55,2.353435944108402,1.3194925,69.896,89.258
56,2.3428517930647907,1.3185875,69.948,89.266
57,2.3354547257516898,1.320861875,70.118,89.28
58,2.327672605421029,1.309984375,70.054,89.368
59,2.3318718251060035,1.3169275,69.998,89.24
60,2.3525499152202234,1.312308125,70.022,89.276
61,2.338132750754263,1.32476,69.894,89.222
62,2.345898064912534,1.319261875,69.996,89.28
63,2.3363755029790543,1.315095625,69.926,89.34
64,2.331007284276626,1.30700125,70.13,89.262
65,2.315973873231925,1.30284375,70.13,89.298
66,2.3172313115176033,1.29927125,70.234,89.368
67,2.326270376934725,1.323726875,69.876,89.232
68,2.323330895573485,1.2976025,70.054,89.308
69,2.3291408688414332,1.31442875,69.976,89.206
70,2.3130875194773957,1.30206125,70.236,89.412
71,2.326338714244319,1.30772375,70.218,89.404
72,2.319708887268515,1.308539375,70.092,89.336
73,2.3152380433737063,1.31006125,70.058,89.352
74,2.321237694983389,1.307429375,70.248,89.424
75,2.297828260590048,1.3087075,70.196,89.372
76,2.298571598296072,1.309091875,70.182,89.226
77,2.298420352094314,1.3076175,70.252,89.336
78,2.31789296281104,1.309761875,70.204,89.458
79,2.297861943057939,1.308663125,70.102,89.326
80,2.267992552588968,1.277016875,70.844,89.742
81,2.2533044838437846,1.286843125,70.892,89.742
82,2.2358625659755633,1.272948125,70.874,89.79
83,2.2429861800343383,1.269363125,71.01,89.896
84,2.227338751157125,1.265628125,70.992,89.854
85,2.2275846670655643,1.2735325,71.132,89.89
86,2.2289138705122706,1.275519375,71.046,89.962
87,2.234361186915753,1.266071875,71.256,89.9
88,2.2270401926601635,1.264366875,71.162,89.866
89,2.2343280081655466,1.268585,71.182,89.928
90,2.210281353370816,1.261814375,71.174,89.938
91,2.2244956914116356,1.26791875,71.172,89.916
92,2.212518093632717,1.266463125,71.182,89.934
93,2.226369775977789,1.26976125,71.234,89.92
94,2.225893081403246,1.269695,71.302,89.946
95,2.224212824129591,1.26559,71.246,89.906
96,2.2244993798873005,1.271671875,71.24,89.906
