epoch,train_loss,eval_loss,eval_top1,eval_top5
0,5.104204542496625,3.2607,31.12,57.164
1,3.8801983828638114,2.6420375,42.592,69.074
2,3.5089193746155383,2.296765,49.576,74.722
3,3.330592209217595,2.109665,52.478,77.276
4,3.187777680509231,2.02466875,54.708,78.916
5,3.1066066891539332,1.92841375,56.268,80.28
6,3.071337110856,1.85880875,58.008,81.264
7,2.9976066163941923,1.8776725,57.618,81.476
8,2.9523237219043805,1.78953625,59.416,82.402
9,2.9099597627041387,1.76564,59.802,82.796
10,2.8923595863230087,1.75996125,60.108,83.042
11,2.859680030860153,1.712529375,60.832,83.374
12,2.837274434519749,1.728915,61.002,83.62
13,2.797198216120402,1.664095,62.15,84.43
14,2.8026403726315965,1.67002875,62.214,84.228
15,2.77824874718984,1.67740375,62.216,84.396
16,2.7691463746276557,1.630466875,62.686,84.956
17,2.7743104345658245,1.626808125,62.99,84.952
18,2.744998450372733,1.624248125,63.074,84.978
19,2.7388834859810625,1.6077025,63.472,85.186
20,2.7355302595624735,1.5815,63.812,85.656
21,2.729300943075442,1.59625,63.238,85.328
22,2.7162466072568705,1.5845625,63.916,85.522
23,2.7104493356218526,1.587995,63.854,85.666
24,2.705742821973913,1.58112625,63.932,85.828
25,2.6933723033643235,1.58858625,63.668,85.428
26,2.6878249130997003,1.56935625,63.97,85.818
27,2.677018642425537,1.563664375,64.166,85.658
28,2.667151350601047,1.547969375,64.746,86.006
29,2.653313223053427,1.5654825,64.416,85.85
30,2.665453826679903,1.56113125,64.228,85.986
31,2.6650545550327673,1.562174375,64.496,85.956
32,2.645415649694555,1.545206875,64.99,86.232
33,2.650176480704663,1.532495,64.864,86.252
34,2.617870473394207,1.537978125,64.762,86.064
35,2.635935556654837,1.55225,64.63,86.162
36,2.6297917062161016,1.526264375,64.97,86.394
37,2.626240945329853,1.53445875,65.136,86.19
38,2.642839964698343,1.533933125,65.046,86.178
39,2.646938716664034,1.562341875,64.564,85.866
40,2.479675631897122,1.36659375,68.648,88.456
41,2.4270650849622837,1.357125,68.936,88.656
42,2.413231248949088,1.346429375,69.21,88.728
43,2.4038763887741985,1.34960375,69.162,88.676
44,2.384311227237477,1.338415625,69.378,88.794
45,2.388213405422136,1.330761875,69.576,88.95
46,2.382640343086392,1.348726875,69.45,88.8
47,2.387245605973636,1.339538125,69.544,88.944
48,2.371627693082772,1.320696875,69.796,89.024
49,2.381238116937525,1.328135625,69.686,89.028
50,2.3686632151697196,1.331916875,69.572,89.018
51,2.3594981268340467,1.333384375,69.642,88.894
52,2.3516614998088166,1.32177375,69.716,89.032
53,2.3382183056251677,1.328593125,69.762,89.048
54,2.351400380041085,1.317285625,69.698,88.994
55,2.355990108321695,1.32331125,69.754,89.166
56,2.35181814549016,1.32459125,69.828,89.198
57,2.3377447899650123,1.3233925,69.888,89.244
58,2.3253842849357453,1.3166625,69.918,89.08
59,2.333322288943272,1.32291875,69.83,89.286
60,2.3415574185988484,1.306938125,69.946,89.22
61,2.3330287232118496,1.31732625,69.904,89.18
62,2.3451385007185093,1.318508125,70.148,89.11
63,2.3228238073049807,1.31899375,69.994,89.27
64,2.3298291412054324,1.307778125,69.948,89.206
65,2.3241975050346526,1.31610375,69.964,89.238
66,2.3162963039734783,1.3195,69.994,89.248
67,2.311907272712857,1.315909375,69.966,89.216
68,2.3188533268722833,1.308525625,70.098,89.18
69,2.3124510867922914,1.3153975,69.932,89.25
70,2.3051931904811487,1.311136875,70.026,89.28
71,2.3156573632184196,1.31250125,69.9,89.292
72,2.326291596188265,1.316481875,70.01,89.164
73,2.3175248094633516,1.31129625,70.112,89.124
74,2.322287748841678,1.317259375,69.85,89.166
75,2.313455076778636,1.31044125,70.112,89.214
76,2.292028394399905,1.311291875,69.948,89.174
77,2.3115193656846587,1.31310875,70.144,89.254
78,2.3173094520381854,1.3053025,70.082,89.276
79,2.2940320851756075,1.31482625,69.996,89.274
80,2.2777331155889176,1.279941875,70.71,89.716
81,2.247160687166102,1.282160625,70.84,89.768
82,2.246561606725057,1.268879375,70.828,89.754
