epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.814319456324858,6.5914725,1.512,5.24
1,5.7645636119094545,3.71701625,24.132,48.606
2,4.837258217381496,2.7721675,39.388,66.258
3,4.370469855327232,2.3417275,47.738,73.97
4,4.181389843716341,2.46721875,51.656,77.074
5,3.9873623707715202,2.0350075,55.988,80.72
6,3.8527785609750187,1.889595,58.656,82.304
7,3.723038586915708,1.900900625,60.246,83.516
8,3.685050101841197,1.95833875,61.414,83.966
9,3.558335633838878,1.6643475,63.178,85.448
10,3.556021056923212,1.654923125,64.474,86.282
11,3.5051712382073497,1.56065375,65.312,86.82
12,3.432001553329767,1.63059125,65.78,87.082
13,3.3906739763185088,1.47466625,66.576,87.514
14,3.424165536375607,1.483000625,67.004,87.7
15,3.388998120438819,1.52729625,66.782,87.648
16,3.3879849373125563,1.471999375,67.594,88.22
17,3.3450933484470142,1.546833125,67.646,88.17
18,3.3568545416289686,1.61244125,67.626,88.298
19,3.342778021214055,1.525521875,68.496,88.726
20,3.313818845094419,1.4090475,69.046,88.912
21,3.3151826975392362,1.413569375,68.936,89.086
22,3.2809785043492035,1.4650525,68.982,89.146
23,3.319204419266944,1.318315,70.004,89.546
24,3.2502747236513625,1.37004375,69.272,89.526
25,3.1882359069936417,1.457263125,69.47,89.242
26,3.2292133312599334,1.36348,70.316,89.758
27,3.202599284695644,1.330050625,70.27,89.7
28,3.1610250215904387,1.300621875,70.39,90.034
29,3.19513532928392,1.32551375,70.242,89.836
30,3.2041123965207268,1.361541875,70.31,89.866
31,3.2233443119946648,1.430256875,70.426,89.906
32,3.168820430250729,1.35188375,70.968,90.196
33,3.204269432554058,1.323346875,70.85,90.254
34,3.109084021811392,1.352035,70.614,90.072
35,3.1740056346444523,1.28487625,71.058,90.284
36,3.1759671253316544,1.41612875,70.986,90.284
37,3.094734785603542,1.35054,71.146,90.29
38,3.169603990573509,1.462170625,71.078,90.13
39,3.140401646202686,1.272126875,71.198,90.262
40,2.9208464014763926,1.2129628125,74.648,91.972
41,2.9680427476471545,1.179708125,74.84,92.294
42,2.9068752363616346,1.11620375,75.236,92.434
43,2.856120235779706,1.2177296875,75.05,92.304
