epoch,train_loss,eval_loss,eval_top1,eval_top5
0,5.14380771038579,3.3238225,30.476,55.694
1,3.912316467247757,2.5941825,43.126,69.66
2,3.5091513348560706,2.270548125,49.536,74.69
3,3.3315110907835117,2.111315625,52.564,77.464
4,3.200929639386196,2.00422625,54.784,79.254
5,3.113346953018039,1.953035625,56.012,80.058
6,3.0583463953990564,1.925348125,56.836,80.458
7,3.008393397518233,1.8501425,58.332,81.458
8,2.9431011092429067,1.7979075,59.262,82.422
9,2.907563176809573,1.7838775,59.584,82.616
10,2.8948062214196897,1.718868125,60.556,83.482
11,2.86133456697651,1.705224375,61.044,83.836
12,2.8354581150354123,1.706700625,61.394,83.876
13,2.8001666209276985,1.6952375,61.492,83.868
14,2.811669660549538,1.66950125,62.202,84.33
15,2.784889992545633,1.657676875,62.402,84.472
16,2.759476479362039,1.660285625,61.97,84.244
17,2.778092985059701,1.668184375,61.868,84.404
18,2.7638006771312043,1.6497775,62.832,84.776
19,2.7340080480949553,1.601863125,63.642,85.494
20,2.7213111180885163,1.595906875,63.69,85.466
21,2.727803342482623,1.61891,63.072,85.312
22,2.723647108264998,1.59843375,63.452,85.424
23,2.697733820653429,1.5927025,63.81,85.454
24,2.6775015592575073,1.592225,63.842,85.438
25,2.681703345448363,1.584970625,63.824,85.66
26,2.6974724110435035,1.563438125,63.866,85.736
27,2.6972718262204936,1.59024,63.78,85.368
28,2.6595078940485037,1.54385375,64.74,86.078
29,2.656844973564148,1.56948875,64.402,85.776
30,2.6674912980958525,1.555926875,64.808,86.204
31,2.665340834972905,1.536635,64.916,86.288
32,2.648175882358177,1.536180625,64.798,86.256
33,2.6603965665779863,1.52676375,64.944,86.348
34,2.628936545521605,1.53475875,64.714,86.176
35,2.630729044184965,1.566398125,64.66,86.046
36,2.6341920880710377,1.50517,65.444,86.56
37,2.622844852653204,1.55970125,64.776,86.158
38,2.6263814767201743,1.521353125,65.314,86.44
39,2.631211049416486,1.51685375,65.258,86.42
40,2.4785237475937487,1.355340625,68.868,88.702
41,2.418852065123764,1.352815,68.988,88.744
42,2.4136943092533185,1.33043875,69.406,88.852
43,2.397371193941902,1.33170375,69.382,89.062
44,2.399232553500755,1.338814375,69.49,88.988
45,2.3874668654273536,1.332965,69.686,89.116
46,2.390267949478299,1.3336525,69.728,89.176
47,2.3808907060062183,1.320454375,69.61,89.106
48,2.3669759175356697,1.32995875,69.768,89.108
49,2.376719533228407,1.32146375,69.7,89.164
50,2.356747066273409,1.32226625,69.808,89.166
51,2.3609373966852822,1.3141975,69.836,89.246
52,2.3655122214672613,1.316316875,69.968,89.214
53,2.348145330653471,1.31457375,69.898,89.234
54,2.3602214794532927,1.3120175,69.92,89.314
55,2.3518623324001537,1.320225625,69.814,89.376
56,2.3381028198728373,1.32123875,69.804,89.31
57,2.3453380897933362,1.3117275,70.108,89.346
58,2.3337172620436726,1.310084375,69.916,89.304
59,2.328907709495694,1.313190625,69.958,89.346
60,2.3407153545641433,1.309925,70.022,89.398
61,2.3348063955120013,1.312873125,70.124,89.308
62,2.324257581841712,1.31986625,69.888,89.342
63,2.323509842741723,1.3134825,70.16,89.394
64,2.3292877393610336,1.302591875,70.11,89.438
65,2.3228010453429877,1.30219125,70.034,89.434
66,2.3213248930725396,1.2948975,70.126,89.514
