epoch,train_loss,eval_loss,eval_top1,eval_top5
0,5.16373740458021,3.423055,28.282,54.048
1,3.9183015168881883,2.590145,43.774,69.512
2,3.531785726547241,2.3089975,48.898,74.262
3,3.3339192680284087,2.1087975,52.514,77.358
4,3.2027248892129636,2.03287625,54.63,78.856
5,3.1019392434288475,1.9384925,56.214,80.302
6,3.0513058409971348,1.8699275,57.902,81.002
7,3.0176509642133524,1.8585625,58.502,81.79
8,2.9576670492396637,1.77329125,60.028,82.78
9,2.9093411412893557,1.776028125,59.882,82.632
10,2.8915456720426973,1.739745,60.71,83.406
11,2.8597950210758283,1.6883675,61.626,83.808
12,2.83058319606033,1.7116925,61.644,83.85
13,2.808737511728324,1.684156875,61.998,84.122
14,2.8144349187028173,1.694116875,61.688,84.04
15,2.784647682133843,1.6541,62.586,84.426
16,2.7685704231262207,1.653089375,62.532,84.58
17,2.767933812795901,1.6220925,63.388,84.926
18,2.7596462801391004,1.6448325,62.896,84.734
19,2.732951701856127,1.6191775,63.592,85.118
20,2.741372388951919,1.596706875,63.446,85.094
21,2.7349094222573673,1.61971125,63.372,85.094
22,2.7145818074544272,1.624098125,63.354,85.292
23,2.708604957543167,1.570060625,64.354,85.502
24,2.6901210149129233,1.58861125,63.934,85.476
25,2.6953596694796693,1.596095,63.372,85.044
26,2.707184066959456,1.58569125,64.016,85.496
27,2.677056296198976,1.595465,63.88,85.386
28,2.677109124613743,1.56394125,64.67,85.93
29,2.661741612004299,1.554584375,64.518,85.928
30,2.667966234917734,1.55293125,64.776,85.988
31,2.6706224446203195,1.554343125,64.792,85.922
32,2.651657733262754,1.546145,64.672,85.998
33,2.65286048487121,1.552999375,64.482,86.032
34,2.6412091979793475,1.53257375,64.958,86.14
35,2.625526332387737,1.562819375,64.574,85.794
36,2.6339063504162956,1.52396125,65.09,86.356
37,2.6213823907515583,1.520465,65.166,86.476
38,2.6350144404991,1.52291375,65.2,86.112
39,2.6280180519702387,1.51227125,65.372,86.404
40,2.4703542204464184,1.3610125,68.764,88.4
41,2.432616993492725,1.356558125,69.234,88.536
42,2.4019847407060513,1.347423125,69.216,88.758
43,2.3949649544323193,1.347155625,69.372,88.824
44,2.39943050403221,1.33659625,69.524,88.804
45,2.3695479678172693,1.33587875,69.56,88.85
46,2.3914484416737274,1.345524375,69.64,88.88
47,2.3790083936616484,1.328735625,69.618,88.86
48,2.3604885643603755,1.324486875,69.834,88.962
49,2.369788041301802,1.3328075,69.85,88.982
50,2.376390164973689,1.321823125,69.766,89.036
51,2.363407483287886,1.32280625,70.04,89.034
52,2.352161683288275,1.32093,70.014,89.042
53,2.3439447669421924,1.318963125,69.868,88.996
54,2.3646577409669463,1.317298125,69.902,89.044
55,2.352436477062749,1.32442875,69.968,89.04
56,2.3333521333395266,1.31997375,70.016,89.068
57,2.347458149872574,1.31776125,70.134,88.984
58,2.343080590752994,1.32351,69.906,88.936
59,2.3376063692803477,1.31993875,70.174,89.038
60,2.3434280227212345,1.3096275,70.01,89.134
61,2.338764784382839,1.31364375,70.052,89.102
62,2.338617063036152,1.31925875,70.204,89.116
63,2.3338283884759043,1.3210075,70.014,89.048
64,2.34006390618343,1.309540625,70.216,89.152
65,2.325478053560444,1.312265,69.96,89.144
66,2.3168068306118834,1.3091075,70.066,89.248
67,2.3072932070376826,1.314541875,69.834,89.206
68,2.30822879894107,1.300313125,70.124,89.196
69,2.3181100779888677,1.30891875,70.102,89.214
70,2.3108394613452985,1.310450625,70.172,89.148
71,2.3344121096180936,1.307343125,70.164,89.126
72,2.31632974802279,1.314648125,70.216,89.198
73,2.309521261383505,1.31200875,70.112,89.02
74,2.329483429590861,1.311829375,70.152,89.24
75,2.3012182525559965,1.31419,70.306,89.192
76,2.306009393112332,1.306285625,70.314,89.308
77,2.2937929922459173,1.31483625,70.306,89.294
78,2.2968451696283676,1.30629625,70.226,89.242
79,2.3101975193210675,1.306695,70.204,89.288
80,2.2641202819113637,1.271145625,70.95,89.716
81,2.2654509918362487,1.28102125,71.038,89.776
82,2.232039089296378,1.262376875,71.068,89.724
83,2.2504786638652576,1.272321875,71.036,89.816
84,2.224111984757816,1.264788125,71.216,89.814
85,2.239697860736473,1.27265375,71.092,89.734
86,2.2218903957628737,1.268415625,71.172,89.774
87,2.2222682003881418,1.26071875,71.234,89.76
88,2.2282101056155037,1.2596625,71.234,89.8
89,2.232471042988347,1.268759375,71.286,89.794
90,2.212866444213718,1.26835375,71.298,89.776
91,2.2346302972120395,1.27128375,71.174,89.798
92,2.213076194127401,1.2663325,71.244,89.784
93,2.218760137464486,1.269701875,71.304,89.796
